rank,state_id,combined_score,logistic_coefficient,random_forest_importance,visited_trace_count,p_target_given_visited,p_target_given_not_visited,probability_difference,T,br,bs,fr,fs,i,k,l,lr,ls,nrtr,r,r_ab,recv,rrep,s,s_ab,srep,labels
1,89,0.6040638767239813,0.1628600759000616,0.0686883399473633,176,0.5397727272727273,0.3202053000942704,0.2195674271784568,True,True,False,False,False,3,0,0,False,False,1,4,False,True,2,3,False,0,
2,82,0.5674615531118733,0.1628600759000608,0.0590031375021622,176,0.5397727272727273,0.3202053000942704,0.2195674271784568,True,True,False,False,False,3,2,0,False,False,1,4,False,True,2,2,False,0,
3,101,0.553887516651287,0.4980144168425412,0.0530270562437721,83,0.5180722891566265,0.3225103734439834,0.1955619157126431,True,False,False,False,False,3,0,2,False,False,1,4,True,True,2,2,False,0,
4,69,0.3400993491437772,0.3112520292084604,0.0116872178771993,250,0.416,0.3217565713079278,0.0942434286920722,True,True,True,False,False,2,0,0,False,False,1,4,False,True,2,3,True,0,
5,83,0.3225727101868983,0.3534254037433663,0.0070107385193785,217,0.4055299539170507,0.3223227435304018,0.0832072103866488,True,True,True,False,False,2,0,0,False,False,2,2,False,True,2,2,True,0,
6,102,0.2659007442702593,-0.0571026970786684,0.022410999254577,111,0.5045045045045045,0.3220973782771535,0.1824071262273509,True,False,False,False,False,3,0,0,False,False,2,2,False,True,2,2,False,0,
7,99,0.250948229661846,0.3245783791353427,0.0171474687606605,85,0.388235294117647,0.3236148578543266,0.0646204362633204,True,False,False,False,False,3,2,0,False,False,1,4,True,True,2,2,False,0,
8,95,0.2509104807185185,-0.0571026970786684,0.0179306028405892,111,0.5045045045045045,0.3220973782771535,0.1824071262273509,True,True,False,False,False,3,1,0,False,False,2,4,False,True,2,2,False,0,
9,93,0.2110115835006046,0.2333839741143031,0.0084619645348556,485,0.3463917525773196,0.3230136393158692,0.0233781132614503,True,False,False,False,False,3,0,0,False,False,0,4,True,True,2,3,False,0,
10,44,0.2011897098849417,0.330610284207449,0.0083463343286115,166,0.3012048192771084,0.3245788427330752,-0.0233740234559667,True,False,True,True,False,2,2,0,False,False,1,4,True,True,1,2,True,0,
11,51,0.1974632405006979,0.330610284207449,0.007347145670041,166,0.3012048192771084,0.3245788427330752,-0.0233740234559667,True,False,True,True,False,2,0,0,False,False,1,4,True,True,1,3,True,0,
12,61,0.1927736385846479,0.1179752393401816,0.01127729384737,104,0.4230769230769231,0.3231105104480715,0.0999664126288515,True,True,True,False,False,2,2,0,False,False,1,4,False,True,2,2,True,0,
13,63,0.1914754468383255,0.0801097691122249,0.014980729712164,155,0.4064516129032258,0.3228469899665552,0.0836046229366705,True,True,True,False,False,2,0,2,False,False,1,4,False,True,2,2,True,0,
14,75,0.1693389369472642,-0.6097349058944602,0.0163740104805993,245,0.4040816326530612,0.3221143701202785,0.0819672625327826,True,True,True,False,False,2,1,0,False,False,2,4,False,True,2,2,True,0,
15,100,0.1668837516700815,-0.4957325570106809,0.0369552396887116,670,0.2895522388059701,0.3267425162929415,-0.0371902774869714,True,False,False,False,False,3,0,1,False,False,1,4,True,True,2,2,False,0,
16,56,0.1301099928969596,0.1184998179402285,0.0064340372275414,1202,0.3386023294509151,0.322145288111724,0.0164570413391911,True,True,True,False,False,2,0,0,False,False,1,3,True,True,2,2,True,0,
17,67,0.1299023316381687,-0.0543510179667636,0.0145925285342562,1337,0.3605086013462977,0.3183877891724302,0.0421208121738674,True,True,False,False,False,3,2,0,False,False,0,4,False,True,2,2,False,0,
18,74,0.1276001953049223,-0.0543510179667636,0.0141003979360019,1337,0.3605086013462977,0.3183877891724302,0.0421208121738674,True,True,False,False,False,3,0,0,False,False,0,4,False,True,2,3,False,0,
19,36,0.1209659145571774,0.1067840956216618,0.0076866408844192,1370,0.3335766423357664,0.322638572967796,0.0109380693679704,True,False,True,True,False,2,0,0,False,False,0,4,True,True,1,3,True,0,
20,22,0.1204289943539153,0.1276518146501467,0.0073742705728352,7549,0.3205722612266525,0.3367065317387304,-0.0161342705120778,True,False,False,True,True,2,0,0,False,False,0,4,True,True,1,1,True,0,
