rank,state_id,logistic_regression_coefficient,absolute_logistic_regression_coefficient,random_forest_feature_importance,total_retained_trace_count,visited_trace_count,target_traces_when_visited,success_traces_when_visited,target_probability_when_visited,target_probability_when_not_visited,probability_difference,probability_ratio,support_fraction,normalized_positive_logistic_coefficient,normalized_random_forest_importance,normalized_positive_probability_difference,support_reliability_weight,combined_ranking_score
1,89,0.16286007590006163,0.16286007590006163,0.06868833994736336,9723,176,95,81,0.5397727272727273,0.32020530009427045,0.21956742717845684,1.68570828500907,0.01810140903013473,0.32701879783442817,1.0,1.0,0.7787610619469026,0.6040638767239813
2,82,0.1628600759000608,0.1628600759000608,0.059003137502162246,9723,176,95,81,0.5397727272727273,0.32020530009427045,0.21956742717845684,1.68570828500907,0.01810140903013473,0.3270187978344265,0.8589978669942673,1.0,0.7787610619469026,0.5674615531118733
3,101,0.4980144168425412,0.4980144168425412,0.05302705624377219,9723,83,43,40,0.5180722891566265,0.3225103734439834,0.1955619157126431,1.6063740326374651,0.00853645994034763,1.0,0.7719950181414694,0.8906690679291747,0.6240601503759399,0.553887516651287
4,69,0.3112520292084604,0.3112520292084604,0.011687217877199356,9723,250,104,146,0.416,0.3217565713079278,0.0942434286920722,1.2929028871391075,0.025712228735986834,0.6249859816947225,0.1701484980734052,0.4292231771494703,0.8333333333333334,0.34009934914377726
5,83,0.3534254037433663,0.3534254037433663,0.007010738519378505,9723,217,88,129,0.4055299539170507,0.32232274353040186,0.08320721038664886,1.2581487408405627,0.022318214542836574,0.7096690211984564,0.1020659186806802,0.37895971846052057,0.8127340823970037,0.32257271018689837
6,102,-0.05710269707866842,0.05710269707866842,0.022410999254577006,9723,111,56,55,0.5045045045045045,0.32209737827715357,0.1824071262273509,1.5663104965430545,0.011416229558778156,0.0,0.3262707946028512,0.8307567683028716,0.6894409937888198,0.2659007442702593
7,99,0.3245783791353427,0.3245783791353427,0.01714746876066058,9723,85,33,52,0.38823529411764707,0.32361485785432664,0.06462043626332042,1.1996831563661052,0.008742157770235523,0.651744945845545,0.24964162438342338,0.29430793580688613,0.6296296296296297,0.25094822966184605
8,95,-0.05710269707866846,0.05710269707866846,0.017930602840589227,9723,111,56,55,0.5045045045045045,0.32209737827715357,0.1824071262273509,1.5663104965430545,0.011416229558778156,0.0,0.26104289103987155,0.8307567683028716,0.6894409937888198,0.25091048071851857
9,93,0.23338397411430314,0.23338397411430314,0.008461964534855685,9723,485,168,317,0.3463917525773196,0.32301363931586924,0.02337811326145034,1.072375003454852,0.04988172374781446,0.46862895173593516,0.12319360958992724,0.10647350366067465,0.9065420560747663,0.21101158350060464
10,44,0.33061028420744903,0.33061028420744903,0.008346334328611593,9723,166,50,116,0.30120481927710846,0.32457884273307525,-0.023374023455966786,0.927986607940466,0.01707291988069526,0.6638568543929907,0.12151020588075767,0.0,0.7685185185185185,0.2011897098849417
11,51,0.33061028420744903,0.33061028420744903,0.007347145670041062,9723,166,50,116,0.30120481927710846,0.32457884273307525,-0.023374023455966786,0.927986607940466,0.01707291988069526,0.6638568543929907,0.10696350611575796,0.0,0.7685185185185185,0.19746324050069797
12,61,0.11797523934018163,0.11797523934018163,0.01127729384737008,9723,104,44,60,0.4230769230769231,0.32311051044807154,0.09996641262885153,1.3093876843876844,0.010696287154170524,0.2368912130860706,0.16418061429366318,0.4552879901789908,0.6753246753246753,0.19277363858464797
13,63,0.08010976911222498,0.08010976911222498,0.014980729712164095,9723,155,63,92,0.4064516129032258,0.3228469899665552,0.08360462293667059,1.2589605154606878,0.015941581816311837,0.16085833341959965,0.21809712861955896,0.3807696979967782,0.7560975609756098,0.1914754468383255
14,75,-0.6097349058944602,0.6097349058944602,0.016374010480599315,9723,245,99,146,0.40408163265306124,0.32211437012027855,0.08196726253278269,1.254466332881007,0.0251979841612671,0.0,0.23838122297244194,0.3733124880411452,0.8305084745762712,0.16933893694726426
15,100,-0.4957325570106809,0.4957325570106809,0.03695523968871166,9723,670,194,476,0.28955223880597014,0.32674251629294154,-0.0371902774869714,0.8861786402672237,0.06890877301244472,0.0,0.5380132889662331,0.0,0.9305555555555556,0.16688375167008157
