window,model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,training_row_count,test_row_count,positive_rate,number_of_features
5,Logistic Regression,0.6305,0.4119601328903654,0.18075801749271136,0.2512664640324215,0.5245383867832847,1137,177,562,124,8000,2000,0.3429,12
5,Decision Tree,0.6305,0.4119601328903654,0.18075801749271136,0.2512664640324215,0.5245383867832847,1137,177,562,124,8000,2000,0.3429,12
5,Random Forest,0.6305,0.4119601328903654,0.18075801749271136,0.2512664640324215,0.5245383867832847,1137,177,562,124,8000,2000,0.3429,12
10,Logistic Regression,0.5978915662650602,0.38686131386861317,0.31314623338257014,0.3461224489795918,0.5276420800781799,979,336,465,212,7964,1992,0.3399959823222178,39
10,Decision Tree,0.5978915662650602,0.38686131386861317,0.31314623338257014,0.3461224489795918,0.5276622990042179,979,336,465,212,7964,1992,0.3399959823222178,39
10,Random Forest,0.5978915662650602,0.38686131386861317,0.31314623338257014,0.3461224489795918,0.5276622990042179,979,336,465,212,7964,1992,0.3399959823222178,39
20,Logistic Regression,0.6313624678663239,0.39303482587064675,0.25039619651347067,0.3059051306873185,0.5397095041332282,1070,244,473,158,7778,1945,0.32417977990332203,94
20,Decision Tree,0.6539845758354755,0.40186915887850466,0.13629160063391443,0.20355029585798817,0.5146640953090815,1186,128,545,86,7778,1945,0.32417977990332203,94
20,Random Forest,0.6210796915167095,0.3847826086956522,0.2805071315372425,0.3244729605866178,0.5283108641064049,1031,283,454,177,7778,1945,0.32417977990332203,94
50,Logistic Regression,0.5969498910675382,0.3165829145728643,0.362763915547025,0.33810375670840787,0.5383410084438379,907,408,332,189,7341,1836,0.2839707965566089,251
50,Decision Tree,0.6715686274509803,0.3277310924369748,0.14971209213051823,0.20553359683794467,0.5173408843770754,1155,160,443,78,7341,1836,0.2839707965566089,251
50,Random Forest,0.6247276688453159,0.32127659574468087,0.28982725527831094,0.30474268415741673,0.5246017092021048,996,319,370,151,7341,1836,0.2839707965566089,251
