observation_window,model,total_rows,train_rows,test_rows,feature_count,positive_rate,train_positive_rate,test_positive_rate,train_trace_id_sha256,test_trace_id_sha256,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,data_preparation_seconds,training_seconds,prediction_seconds,total_seconds
5,Logistic Regression,9177,7341,1836,12,0.2839707965566089,0.2840212505108296,0.2837690631808279,59c7b8869b0aab341fb7695b01157bbc731c8047ee271abc2e4105312e2122aa,80061fa2fc440c6a1b63de1014115d9c54823b174baabd3a73ff9d2051b31d42,0.6650326797385621,0.3192307692307692,0.15930902111324377,0.21254801536491677,0.5120235288966085,1138,177,438,83,0.00667037600032927,0.008436857000560849,0.0018366439999226714,0.01694387700081279
5,Decision Tree,9177,7341,1836,12,0.2839707965566089,0.2840212505108296,0.2837690631808279,59c7b8869b0aab341fb7695b01157bbc731c8047ee271abc2e4105312e2122aa,80061fa2fc440c6a1b63de1014115d9c54823b174baabd3a73ff9d2051b31d42,0.6650326797385621,0.3192307692307692,0.15930902111324377,0.21254801536491677,0.5120235288966085,1138,177,438,83,0.00667037600032927,0.004005001001132769,0.0015152500000112923,0.012190627001473331
5,Random Forest,9177,7341,1836,12,0.2839707965566089,0.2840212505108296,0.2837690631808279,59c7b8869b0aab341fb7695b01157bbc731c8047ee271abc2e4105312e2122aa,80061fa2fc440c6a1b63de1014115d9c54823b174baabd3a73ff9d2051b31d42,0.6688453159041394,0.3116883116883117,0.1381957773512476,0.19148936170212766,0.5052597009261218,1156,159,449,72,0.00667037600032927,0.34267546600131027,0.06912047900004836,0.4184663210016879
10,Logistic Regression,9177,7341,1836,37,0.2839707965566089,0.2840212505108296,0.2837690631808279,59c7b8869b0aab341fb7695b01157bbc731c8047ee271abc2e4105312e2122aa,80061fa2fc440c6a1b63de1014115d9c54823b174baabd3a73ff9d2051b31d42,0.6209150326797386,0.31263383297644537,0.2802303262955854,0.29554655870445345,0.5178510177123549,994,321,375,146,0.012895009000203572,0.019135952001306578,0.0029924219998065382,0.03502338300131669
10,Decision Tree,9177,7341,1836,37,0.2839707965566089,0.2840212505108296,0.2837690631808279,59c7b8869b0aab341fb7695b01157bbc731c8047ee271abc2e4105312e2122aa,80061fa2fc440c6a1b63de1014115d9c54823b174baabd3a73ff9d2051b31d42,0.5969498910675382,0.31153184165232356,0.3474088291746641,0.32849364791288566,0.5186786159987739,915,400,340,181,0.012895009000203572,0.009916753000652534,0.002996359999087872,0.025808121999943978
10,Random Forest,9177,7341,1836,37,0.2839707965566089,0.2840212505108296,0.2837690631808279,59c7b8869b0aab341fb7695b01157bbc731c8047ee271abc2e4105312e2122aa,80061fa2fc440c6a1b63de1014115d9c54823b174baabd3a73ff9d2051b31d42,0.6007625272331155,0.3079710144927536,0.32629558541266795,0.3168685927306617,0.517502171168344,933,382,351,170,0.012895009000203572,0.4157246760005364,0.06824501800110738,0.4968647030018474
20,Logistic Regression,9177,7341,1836,88,0.2839707965566089,0.2840212505108296,0.2837690631808279,59c7b8869b0aab341fb7695b01157bbc731c8047ee271abc2e4105312e2122aa,80061fa2fc440c6a1b63de1014115d9c54823b174baabd3a73ff9d2051b31d42,0.6116557734204793,0.30165289256198347,0.2802303262955854,0.29054726368159206,0.5087795479591017,977,338,375,146,0.020146070999544463,1.8430059379988961,0.005742388000726351,1.868894396999167
20,Decision Tree,9177,7341,1836,88,0.2839707965566089,0.2840212505108296,0.2837690631808279,59c7b8869b0aab341fb7695b01157bbc731c8047ee271abc2e4105312e2122aa,80061fa2fc440c6a1b63de1014115d9c54823b174baabd3a73ff9d2051b31d42,0.6557734204793029,0.30662020905923343,0.1689059500959693,0.21782178217821782,0.5046846149916437,1116,199,433,88,0.020146070999544463,0.025828895000813645,0.011009681000359706,0.056984647000717814
20,Random Forest,9177,7341,1836,88,0.2839707965566089,0.2840212505108296,0.2837690631808279,59c7b8869b0aab341fb7695b01157bbc731c8047ee271abc2e4105312e2122aa,80061fa2fc440c6a1b63de1014115d9c54823b174baabd3a73ff9d2051b31d42,0.6263616557734205,0.3049645390070922,0.2476007677543186,0.2733050847457627,0.5055757062682908,1021,294,392,129,0.020146070999544463,0.496987339000043,0.09139174999836541,0.6085251599979529
50,Logistic Regression,9177,7341,1836,251,0.2839707965566089,0.2840212505108296,0.2837690631808279,59c7b8869b0aab341fb7695b01157bbc731c8047ee271abc2e4105312e2122aa,80061fa2fc440c6a1b63de1014115d9c54823b174baabd3a73ff9d2051b31d42,0.5969498910675382,0.3165829145728643,0.362763915547025,0.33810375670840787,0.5383410084438379,907,408,332,189,0.055958061000637827,4.774944232998678,0.06476364399895829,4.895665937998274
50,Decision Tree,9177,7341,1836,251,0.2839707965566089,0.2840212505108296,0.2837690631808279,59c7b8869b0aab341fb7695b01157bbc731c8047ee271abc2e4105312e2122aa,80061fa2fc440c6a1b63de1014115d9c54823b174baabd3a73ff9d2051b31d42,0.6715686274509803,0.3277310924369748,0.14971209213051823,0.20553359683794467,0.5173408843770754,1155,160,443,78,0.055958061000637827,0.1250059579997469,0.010681234000003315,0.19164525300038804
50,Random Forest,9177,7341,1836,251,0.2839707965566089,0.2840212505108296,0.2837690631808279,59c7b8869b0aab341fb7695b01157bbc731c8047ee271abc2e4105312e2122aa,80061fa2fc440c6a1b63de1014115d9c54823b174baabd3a73ff9d2051b31d42,0.6247276688453159,0.32127659574468087,0.28982725527831094,0.30474268415741673,0.5246017092021048,996,319,370,151,0.055958061000637827,0.48347618899970257,0.08321233300011954,0.6226465830004599
