observation_window,model,f1_common_cohort,f1_operational,common_cohort_f1_minus_operational_f1,roc_auc_common_cohort,roc_auc_operational,common_cohort_roc_auc_minus_operational_roc_auc
5,Logistic Regression,0.21254801536491677,0.2512664640324215,-0.03871844866750471,0.5120235288966085,0.5245383867832847,-0.012514857886676167
5,Decision Tree,0.21254801536491677,0.2512664640324215,-0.03871844866750471,0.5120235288966085,0.5245383867832847,-0.012514857886676167
5,Random Forest,0.19148936170212766,0.2512664640324215,-0.05977710233029382,0.5052597009261218,0.5245383867832847,-0.01927868585716286
10,Logistic Regression,0.29554655870445345,0.3461224489795918,-0.05057589027513837,0.5178510177123549,0.5276420800781799,-0.009791062365825054
10,Decision Tree,0.32849364791288566,0.3461224489795918,-0.017628801066706168,0.5186786159987739,0.5276622990042179,-0.008983683005444054
10,Random Forest,0.3168685927306617,0.3461224489795918,-0.02925385624893012,0.517502171168344,0.5276622990042179,-0.010160127835873944
20,Logistic Regression,0.29054726368159206,0.3059051306873185,-0.015357867005726444,0.5087795479591017,0.5397095041332282,-0.030929956174126416
20,Decision Tree,0.21782178217821782,0.2035502958579881,0.014271486320229732,0.5046846149916437,0.5146640953090815,-0.009979480317437783
20,Random Forest,0.2733050847457627,0.3244729605866178,-0.05116787584085508,0.5055757062682908,0.5283108641064049,-0.022735157838114084
50,Logistic Regression,0.33810375670840787,0.3381037567084078,5.551115123125783e-17,0.5383410084438379,0.5383410084438379,0.0
50,Decision Tree,0.20553359683794467,0.2055335968379446,8.326672684688674e-17,0.5173408843770754,0.5173408843770754,0.0
50,Random Forest,0.30474268415741673,0.3047426841574167,5.551115123125783e-17,0.5246017092021048,0.5246017092021048,0.0
