original_rank,state_id,empirical_support_fraction,exact_candidate_reachability,support_reachability_absolute_gap,support_reachability_relative_gap,baseline_target_probability,target_probability_from_candidate,probability_difference_from_baseline,probability_ratio_to_baseline,raises_probability_from_state,combined_ranking_score,risk_weighted_coverage,T,br,bs,fr,fs,i,k,l,lr,ls,nrtr,r,r_ab,recv,rrep,s,s_ab,srep,labels
1,89,0.0181014090301347,0.0219197851928891,0.003818376162754402,0.17419769989320444,0.3416445845150787,0.4762293196472074,0.1345847351321287,1.3939320019462762,True,0.6040638767239813,0.010438844389222508,True,True,False,False,False,3,0,0,False,False,1,4,False,True,2,3,False,0,
2,82,0.0181014090301347,0.0219197851928891,0.003818376162754402,0.17419769989320444,0.3416445845150787,0.4762293196472074,0.1345847351321287,1.3939320019462762,True,0.5674615531118733,0.010438844389222508,True,True,False,False,False,3,2,0,False,False,1,4,False,True,2,2,False,0,
3,101,0.0085364599403476,0.019459898187909323,0.010923438247561723,0.5613306987571287,0.3416445845150787,0.4762293196472074,0.1345847351321287,1.3939320019462762,True,0.553887516651287,0.009267374074431982,True,False,False,False,False,3,0,2,False,False,1,4,True,True,2,2,False,0,
4,69,0.0257122287359868,0.032300299040625,0.0065880703046382015,0.20396313657505769,0.3416445845150787,0.4830267500654909,0.14138216555041222,1.4138282061490492,True,0.3400993491437772,0.015601908471736588,True,True,True,False,False,2,0,0,False,False,1,4,False,True,2,3,True,0,
5,83,0.0223182145428365,0.027455254184531253,0.005137039641694752,0.18710588534958988,0.3416445845150787,0.3917961765476363,0.050151592032557646,1.1467946348505464,True,0.3225727101868983,0.010756863615642837,True,True,True,False,False,2,0,0,False,False,2,2,False,True,2,2,True,0,
6,102,0.0114162295587781,0.018631817413955736,0.007215587855177636,0.3872723575410827,0.3416445845150787,0.3837991995849499,0.042154615069871226,1.123387335788461,True,0.2659007442702593,0.007150876610289143,True,False,False,False,False,3,0,0,False,False,2,2,False,True,2,2,False,0,
7,99,0.0087421577702355,0.01242121160930382,0.00367905383906832,0.2961912214998905,0.3416445845150787,0.4762293196472074,0.1345847351321287,1.3939320019462762,True,0.250948229661846,0.0059153451538927525,True,False,False,False,False,3,2,0,False,False,1,4,True,True,2,2,False,0,
8,95,0.0114162295587781,0.018631817413955736,0.007215587855177636,0.3872723575410827,0.3416445845150787,0.3837991995849499,0.042154615069871226,1.123387335788461,True,0.2509104807185185,0.007150876610289143,True,True,False,False,False,3,1,0,False,False,2,4,False,True,2,2,False,0,
9,93,0.0498817237478144,0.08280807739535885,0.032926353647544454,0.39762248663667055,0.3416445845150787,0.35314320976430114,0.01149862524922246,1.033656688179452,True,0.2110115835006046,0.029243110245807693,True,False,False,False,False,3,0,0,False,False,0,4,True,True,2,3,False,0,
10,44,0.0170729198806952,0.022207997812499998,0.005135077931804798,0.23122651466195965,0.3416445845150787,0.4830267500654909,0.14138216555041222,1.4138282061490492,True,0.2011897098849417,0.010727057008833404,True,False,True,True,False,2,2,0,False,False,1,4,True,True,1,2,True,0,
11,51,0.0170729198806952,0.022207997812499998,0.005135077931804798,0.23122651466195965,0.3416445845150787,0.4830267500654909,0.14138216555041222,1.4138282061490492,True,0.1974632405006979,0.010727057008833404,True,False,True,True,False,2,0,0,False,False,1,4,True,True,1,3,True,0,
12,61,0.0106962871541705,0.012584532093749998,0.0018882449395794983,0.15004490635907547,0.3416445845150787,0.4830267500654909,0.14138216555041222,1.4138282061490492,True,0.1927736385846479,0.006078665638338929,True,True,True,False,False,2,2,0,False,False,1,4,False,True,2,2,True,0,
13,63,0.0159415818163118,0.019715766946875,0.003774185130563202,0.19142979021475093,0.3416445845150787,0.4830267500654909,0.14138216555041222,1.4138282061490492,True,0.1914754468383255,0.009523242833397658,True,True,True,False,False,2,0,2,False,False,1,4,False,True,2,2,True,0,
14,75,0.0251979841612671,0.027455254184531253,0.002257270023264153,0.08221632216888877,0.3416445845150787,0.3917961765476363,0.050151592032557646,1.1467946348505464,True,0.1693389369472642,0.010756863615642837,True,True,True,False,False,2,1,0,False,False,2,4,False,True,2,2,True,0,
15,100,0.0689087730124447,0.17513908369118394,0.10623031067873924,0.6065482840258036,0.3416445845150787,0.31533244398327764,-0.02631214053180103,0.9229838793752643,False,0.1668837516700815,0.05522703529733284,True,False,False,False,False,3,0,1,False,False,1,4,True,True,2,2,False,0,
16,56,0.1236243957626247,0.1258453209375,0.0022209251748753073,0.017648055234237202,0.3416445845150787,0.34009885155418546,-0.0015457329608932202,0.9954756111147285,False,0.1301099928969596,0.04279984912431164,True,True,True,False,False,2,0,0,False,False,1,3,True,True,2,2,True,0,
17,67,0.1375089992800576,0.14613190128592735,0.008622902005869737,0.05900766314535135,0.3416445845150787,0.35314320976430114,0.01149862524922246,1.033656688179452,True,0.1299023316381687,0.051605488669072386,True,True,False,False,False,3,2,0,False,False,0,4,False,True,2,2,False,0,
18,74,0.1375089992800576,0.14613190128592735,0.008622902005869737,0.05900766314535135,0.3416445845150787,0.35314320976430114,0.01149862524922246,1.033656688179452,True,0.1276001953049223,0.051605488669072386,True,True,False,False,False,3,0,0,False,False,0,4,False,True,2,3,False,0,
19,36,0.1409030134732078,0.14805331875,0.007150305276792196,0.0482954744760978,0.3416445845150787,0.3615380363308813,0.0198934518158026,1.0582285003698766,True,0.1209659145571774,0.05352690613314504,True,False,True,True,False,2,0,0,False,False,0,4,True,True,1,3,True,0,
20,22,0.7764064589118584,0.765,0.01140645891185843,0.01491040380635089,0.3416445845150787,0.332988188603248,-0.00865639591183065,0.9746625695117711,False,0.1204289943539153,0.25473596428148476,True,False,False,True,True,2,0,0,False,False,0,4,True,True,1,1,True,0,
