state_id,exact_candidate_reachability,baseline_target_probability,target_probability_from_candidate,probability_difference_from_baseline,probability_ratio_to_baseline,raises_probability_from_state,exact_value_source,T,br,bs,fr,fs,i,k,l,lr,ls,nrtr,r,r_ab,recv,rrep,s,s_ab,srep,labels
0,1.0,0.3416445845150787,0.3416445845150787,0.0,1.0,False,sample_size_storm_verification,False,False,False,False,False,0,0,0,False,False,0,0,False,False,0,0,False,0,exact_reachability_candidate_0|init
1,1.0,0.3416445845150787,0.3416445845150787,0.0,1.0,False,sample_size_storm_verification,True,False,False,False,False,1,0,0,False,False,0,0,False,False,0,1,False,0,exact_reachability_candidate_1
2,0.85,0.3416445845150787,0.3366717613316866,-0.004972823183392094,0.985444454825911,False,sample_size_storm_verification,True,False,False,False,True,1,1,0,False,False,0,0,False,False,0,2,False,0,exact_reachability_candidate_2
3,0.15,0.3416445845150787,0.36982391588763364,0.02817933137255496,1.0824814226531703,True,sample_size_storm_verification,True,False,False,False,True,1,2,0,False,False,0,0,False,False,0,2,False,0,exact_reachability_candidate_3
4,0.85,0.3416445845150787,0.3366717613316866,-0.004972823183392094,0.985444454825911,False,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,0,1,False,True,0,2,False,0,exact_reachability_candidate_4
5,0.15,0.3416445845150787,0.36982391588763364,0.02817933137255496,1.0824814226531703,True,sample_size_storm_verification,True,False,False,False,True,1,0,0,False,False,0,0,False,False,0,3,False,0,exact_reachability_candidate_5
6,0.85,0.3416445845150787,0.3366717613316866,-0.004972823183392094,0.985444454825911,False,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,0,2,False,True,0,2,False,0,exact_reachability_candidate_6
7,0.1275,0.3416445845150787,0.3486629661710717,0.007018381655993,1.0205429325506643,True,sample_size_storm_verification,True,False,False,False,True,1,1,0,False,False,1,0,False,False,0,2,False,0,exact_reachability_candidate_7
8,0.0225,0.3416445845150787,0.4897359642814847,0.14809137976640602,1.433466199900704,True,sample_size_storm_verification,True,False,False,False,True,1,2,0,False,False,1,0,False,False,0,2,False,0,exact_reachability_candidate_8
9,0.85,0.3416445845150787,0.3366717613316866,-0.004972823183392094,0.985444454825911,False,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,0,3,False,True,1,2,False,0,exact_reachability_candidate_9
10,0.1275,0.3416445845150787,0.3486629661710717,0.007018381655993,1.0205429325506643,True,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,1,1,False,True,0,2,False,0,exact_reachability_candidate_10
11,0.0225,0.3416445845150787,0.4897359642814847,0.14809137976640602,1.433466199900704,True,sample_size_storm_verification,True,False,False,False,True,1,0,0,False,False,1,0,False,False,0,3,False,0,exact_reachability_candidate_11
12,0.765,0.3416445845150787,0.332988188603248,-0.00865639591183065,0.9746625695117711,False,sample_size_storm_verification,True,False,False,True,True,1,0,1,False,False,0,4,True,True,1,2,False,0,exact_reachability_candidate_12
13,0.085,0.3416445845150787,0.36982391588763364,0.02817933137255496,1.0824814226531703,True,sample_size_storm_verification,True,False,False,True,True,1,0,2,False,False,0,4,True,True,1,2,False,0,exact_reachability_candidate_13
14,0.1275,0.3416445845150787,0.3486629661710717,0.007018381655993,1.0205429325506643,True,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,1,2,False,True,0,2,False,0,exact_reachability_candidate_14
15,0.019125,0.3416445845150787,0.39968936974292324,0.058044785227844564,1.1698981569113172,True,sample_size_storm_verification,True,False,False,False,True,1,1,0,False,False,2,0,False,False,0,2,False,0,exact_reachability_candidate_15
17,0.765,0.3416445845150787,0.332988188603248,-0.00865639591183065,0.9746625695117711,False,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,0,4,True,True,1,4,True,0,exact_reachability_candidate_17
18,0.085,0.3416445845150787,0.36982391588763364,0.02817933137255496,1.0824814226531703,True,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,0,4,True,True,1,3,False,0,exact_reachability_candidate_18
