training_sample_size,sampling_seed,candidate_count,exact_probability_raising_count,exact_probability_raising_fraction,mean_exact_probability_difference,median_exact_probability_difference,maximum_exact_probability_difference,mean_exact_candidate_reachability,positive_empirical_negative_exact_count,negative_empirical_positive_exact_count
500,42.0,20,6,0.3,0.001422348238208148,-0.009439424438619365,0.14809137976640602,0.2657612432140521,12,1
500,123.0,20,9,0.45,0.01452828765726781,-0.004972823183392094,0.1413821655504122,0.23797270261598807,8,2
500,456.0,20,12,0.6,0.02704125569242723,0.009258503452607699,0.14809137976640602,0.1985210318434179,7,2
1000,42.0,20,8,0.4,0.010503808252030348,-0.01022245296540808,0.1345847351321287,0.1921135208265743,8,2
1000,123.0,20,12,0.6,0.026754881568273443,0.01149862524922243,0.14809137976640602,0.23111312279365936,3,1
1000,456.0,20,14,0.7,0.03386853550269749,0.0114986252492224,0.1413821655504122,0.1890784088107608,3,0
2500,42.0,20,8,0.4,0.0035356935718239488,-0.01022245296540808,0.1413821655504122,0.2735063626618328,7,2
2500,123.0,20,12,0.6,0.02441881144381783,0.0114986252492224,0.1413821655504122,0.2190045813592083,3,2
2500,456.0,20,14,0.7,0.053662345638593435,0.0310240334428369,0.1413821655504122,0.17034592020340206,2,0
5000,42.0,20,13,0.65,0.038965999639851825,0.0198934518158026,0.1413821655504122,0.17577869262938697,4,2
5000,123.0,20,14,0.7,0.03821943223876921,0.0114986252492224,0.1413821655504122,0.1864555539692368,4,2
5000,456.0,20,14,0.7,0.050930866736757285,0.01569603853251253,0.1413821655504122,0.20625952150767918,1,3
7341,,20,15,0.75,0.05904187936007057,0.035022521924180094,0.1413821655504122,0.1332965341478096,3,2
