training_sample_size,sampling_seed,ranking_method,candidate_count,exact_probability_raising_count,mean_exact_probability_difference,mean_exact_candidate_reachability
500,42.0,combined,20,6,0.001422348238208148,0.2657612432140521
500,42.0,empirical_difference_only,20,5,0.0011083305822488997,0.29671680064660483
500,42.0,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301111
500,42.0,logistic_coefficient_only,20,10,0.017241407223290053,0.2344668636580945
500,42.0,random_forest_importance_only,20,5,-0.0014204341630607437,0.326793478114577
500,123.0,combined,20,9,0.01452828765726781,0.23797270261598807
500,123.0,empirical_difference_only,20,17,0.06741576691199452,0.04380296104022406
500,123.0,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301111
500,123.0,logistic_coefficient_only,20,7,0.012959445666685231,0.3084463941673942
500,123.0,random_forest_importance_only,20,8,0.003988349928153295,0.3188141283662628
500,456.0,combined,20,12,0.02704125569242723,0.1985210318434179
500,456.0,empirical_difference_only,20,16,0.05039372184025228,0.07007552368690294
500,456.0,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301112
500,456.0,logistic_coefficient_only,20,14,0.04332600670617236,0.10164084993062983
500,456.0,random_forest_importance_only,20,10,0.015561607477865943,0.2737512015431735
1000,42.0,combined,20,8,0.010503808252030348,0.1921135208265743
1000,42.0,empirical_difference_only,20,10,0.021520988175108453,0.11055807595857085
1000,42.0,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301111
1000,42.0,logistic_coefficient_only,20,11,0.03452406137386886,0.1743835850399605
1000,42.0,random_forest_importance_only,20,7,0.012789378102545174,0.301439612257117
1000,123.0,combined,20,12,0.026754881568273443,0.23111312279365936
1000,123.0,empirical_difference_only,20,14,0.05110021260611726,0.15929332388021764
1000,123.0,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301111
1000,123.0,logistic_coefficient_only,20,12,0.03254984880935101,0.1619870046787364
1000,123.0,random_forest_importance_only,20,12,0.04426116196783283,0.2720531925113162
1000,456.0,combined,20,14,0.03386853550269749,0.1890784088107608
1000,456.0,empirical_difference_only,20,15,0.04601985451842196,0.07101052965936647
1000,456.0,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301111
1000,456.0,logistic_coefficient_only,20,14,0.034613883978275736,0.10826299247782516
1000,456.0,random_forest_importance_only,20,11,0.03111598767379354,0.19678746940698583
2500,42.0,combined,20,8,0.0035356935718239488,0.2735063626618328
2500,42.0,empirical_difference_only,20,10,0.024465268376142515,0.09442289327381795
2500,42.0,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301112
2500,42.0,logistic_coefficient_only,20,12,0.036546035178465254,0.16868193435167023
2500,42.0,random_forest_importance_only,20,8,0.020606528219849356,0.3096125396336612
2500,123.0,combined,20,12,0.02441881144381783,0.2190045813592083
2500,123.0,empirical_difference_only,20,17,0.071277955435055,0.03371158085345713
2500,123.0,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301112
2500,123.0,logistic_coefficient_only,20,11,0.024781797285940082,0.2205877533643701
2500,123.0,random_forest_importance_only,20,12,0.028371953124421388,0.2920416400969129
2500,456.0,combined,20,14,0.053662345638593435,0.17034592020340206
2500,456.0,empirical_difference_only,20,18,0.0669539210651189,0.04225579798590063
2500,456.0,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301112
2500,456.0,logistic_coefficient_only,20,10,0.039129244730323545,0.3126542515898823
2500,456.0,random_forest_importance_only,20,10,0.026946807135937213,0.2054490453172629
5000,42.0,combined,20,13,0.038965999639851825,0.17577869262938697
5000,42.0,empirical_difference_only,20,17,0.04783325364097703,0.06506664699032773
5000,42.0,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301112
5000,42.0,logistic_coefficient_only,20,12,0.038593155043689396,0.17414446956518997
5000,42.0,random_forest_importance_only,20,12,0.03007205697147593,0.2520007360170803
5000,123.0,combined,20,14,0.03821943223876921,0.1864555539692368
5000,123.0,empirical_difference_only,20,17,0.05412373715676464,0.08577655555689193
5000,123.0,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301112
5000,123.0,logistic_coefficient_only,20,11,0.04075241335039605,0.18404001599492018
5000,123.0,random_forest_importance_only,20,13,0.03154621700406478,0.22333110334994827
5000,456.0,combined,20,14,0.050930866736757285,0.20625952150767918
5000,456.0,empirical_difference_only,20,14,0.055799998826265004,0.05273706751837026
5000,456.0,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301111
5000,456.0,logistic_coefficient_only,20,16,0.0613479601673312,0.13615904019474007
5000,456.0,random_forest_importance_only,20,13,0.03638741091179994,0.21414851660524725
7341,,combined,20,15,0.05904187936007057,0.1332965341478096
7341,,empirical_difference_only,20,16,0.0518004538994975,0.06674728755649165
7341,,frequency_support_only,20,0,-0.012972079905830127,0.8225954955301112
7341,,logistic_coefficient_only,20,14,0.0584554365850829,0.13250288754687314
7341,,random_forest_importance_only,20,12,0.04097559338185801,0.21298334416124826
