training_sample_size,sampling_seed,candidate_rank,state_id,visited_count,support_fraction,minimum_support_used,minimum_support_fraction_used,logistic_regression_coefficient,positive_logistic_score,random_forest_importance,empirical_target_probability_if_visited,empirical_target_probability_if_not_visited,empirical_probability_difference,support_weight,combined_ranking_score
500,42,1,100,39,0.078,5,0.01,1.0041957490915592,1.0,0.03261519398204516,0.4358974358974359,0.27114967462039047,0.16474776127704543,0.8863636363636364,0.8418354021524923
500,42,2,94,44,0.088,5,0.01,0.9670793998149133,0.9630387309344588,0.010986377334631769,0.4090909090909091,0.2719298245614035,0.1371610845295056,0.8979591836734694,0.6230856359620935
500,42,3,86,309,0.618,5,0.01,0.49828673584795097,0.4962047850717588,0.03294906780999008,0.2977346278317152,0.2617801047120419,0.03595452311967334,0.9840764331210191,0.5157963253815504
500,42,4,74,70,0.14,5,0.01,-0.513972784517825,0.0,0.03840293696235644,0.3,0.2813953488372093,0.018604651162790697,0.9333333333333333,0.3462442968383329
500,42,5,67,70,0.14,5,0.01,-0.513972784517825,0.0,0.03647101959694345,0.3,0.2813953488372093,0.018604651162790697,0.9333333333333333,0.3305933855885595
500,42,6,81,54,0.108,5,0.01,-0.06244859592775846,0.0,0.020042659439956877,0.35185185185185186,0.2757847533632287,0.07606709848862314,0.9152542372881356,0.30008834100669524
500,42,7,73,378,0.756,5,0.01,-0.47648944454643694,0.0,0.03408666917560154,0.2751322751322751,0.3114754098360656,-0.03634313470379047,0.9869451697127938,0.29200608213406837
500,42,8,26,10,0.02,5,0.01,0.26230620828218093,0.2612102356731494,0.011933811124491189,0.4,0.2816326530612245,0.11836734693877554,0.6666666666666666,0.28676422410635855
500,42,9,62,88,0.176,5,0.01,0.1583741527373539,0.15771243094847423,0.01590542023313997,0.32954545454545453,0.27427184466019416,0.055273609885260366,0.946236559139785,0.2862015082885304
500,42,10,88,54,0.108,5,0.01,-0.06244859592775846,0.0,0.017896135138894893,0.35185185185185186,0.2757847533632287,0.07606709848862314,0.9152542372881356,0.28303569158811304
500,42,11,56,67,0.134,5,0.01,-0.01812099161705122,0.0,0.01789413403695529,0.34328358208955223,0.2748267898383372,0.06845679225121504,0.9305555555555556,0.2734227525929076
500,42,12,66,378,0.756,5,0.01,-0.47648944454643694,0.0,0.029466223988995253,0.2751322751322751,0.3114754098360656,-0.03634313470379047,0.9869451697127938,0.25242468185979805
500,42,13,50,67,0.134,5,0.01,-0.01812099161705122,0.0,0.015031810812686914,0.34328358208955223,0.2748267898383372,0.06845679225121504,0.9305555555555556,0.25030342033324643
500,42,14,70,81,0.162,5,0.01,0.05472986678676762,0.05450119345384476,0.016503515152103822,0.32098765432098764,0.27684964200477324,0.04413801231621439,0.9418604651162791,0.23614326639513566
