training_sample_size,sampling_seed,top5_overlap_count,top5_overlap_fraction,top5_jaccard_similarity,top10_overlap_count,top10_overlap_fraction,top10_jaccard_similarity,top20_overlap_count,top20_overlap_fraction,top20_jaccard_similarity,shared_candidate_count,spearman_rank_correlation,kendall_rank_correlation,mean_absolute_rank_displacement,rank_correlation_explanation,full_top5_state_69_present,full_top5_state_75_present,full_top5_state_86_present,full_top5_state_83_present,full_top5_state_61_present
500,42.0,1,0.2,0.1111111111111111,1,0.1,0.05263157894736842,6,0.3,0.17647058823529413,6,-0.08571428571428573,-0.2,5.833333333333333,defined on shared top-20 states,False,False,True,False,False
500,123.0,1,0.2,0.1111111111111111,3,0.3,0.17647058823529413,6,0.3,0.17647058823529413,6,0.8857142857142858,0.7333333333333333,4.166666666666667,defined on shared top-20 states,True,True,False,False,True
500,456.0,0,0.0,0.0,1,0.1,0.05263157894736842,5,0.25,0.14285714285714285,5,0.19999999999999998,0.19999999999999998,6.4,defined on shared top-20 states,False,False,True,False,False
500,789.0,0,0.0,0.0,2,0.2,0.1111111111111111,8,0.4,0.25,8,-0.6666666666666669,-0.4999999999999999,8.5,defined on shared top-20 states,False,False,True,False,True
500,2026.0,1,0.2,0.1111111111111111,1,0.1,0.05263157894736842,6,0.3,0.17647058823529413,6,0.08571428571428573,0.06666666666666665,6.166666666666667,defined on shared top-20 states,False,False,True,False,False
1000,42.0,1,0.2,0.1111111111111111,1,0.1,0.05263157894736842,7,0.35,0.21212121212121213,7,0.3571428571428572,0.33333333333333337,5.571428571428571,defined on shared top-20 states,False,False,True,False,False
1000,123.0,2,0.4,0.25,3,0.3,0.17647058823529413,9,0.45,0.2903225806451613,9,0.26666666666666666,0.05555555555555555,6.444444444444445,defined on shared top-20 states,True,True,True,False,True
1000,456.0,0,0.0,0.0,2,0.2,0.1111111111111111,10,0.5,0.3333333333333333,10,0.04242424242424241,0.022222222222222223,7.9,defined on shared top-20 states,True,True,True,False,True
1000,789.0,2,0.4,0.25,4,0.4,0.25,12,0.6,0.42857142857142855,12,0.3706293706293707,0.1515151515151515,4.916666666666667,defined on shared top-20 states,False,False,True,True,True
1000,2026.0,3,0.6,0.42857142857142855,4,0.4,0.25,8,0.4,0.25,8,0.2380952380952381,0.2857142857142857,4.125,defined on shared top-20 states,True,True,True,True,False
2500,42.0,2,0.4,0.25,4,0.4,0.25,11,0.55,0.3793103448275862,11,0.2545454545454546,0.2,6.909090909090909,defined on shared top-20 states,False,False,True,True,True
2500,123.0,1,0.2,0.1111111111111111,3,0.3,0.17647058823529413,12,0.6,0.42857142857142855,12,0.4825174825174825,0.3333333333333333,4.166666666666667,defined on shared top-20 states,False,False,False,True,True
2500,456.0,2,0.4,0.25,5,0.5,0.3333333333333333,12,0.6,0.42857142857142855,12,0.44055944055944063,0.303030303030303,4.916666666666667,defined on shared top-20 states,True,True,False,False,True
2500,789.0,2,0.4,0.25,3,0.3,0.17647058823529413,12,0.6,0.42857142857142855,12,0.1258741258741259,0.1212121212121212,6.416666666666667,defined on shared top-20 states,False,False,True,True,True
2500,2026.0,3,0.6,0.42857142857142855,3,0.3,0.17647058823529413,9,0.45,0.2903225806451613,9,0.33333333333333337,0.2777777777777778,6.777777777777778,defined on shared top-20 states,True,True,True,True,False
5000,42.0,4,0.8,0.6666666666666666,7,0.7,0.5384615384615384,15,0.75,0.6,15,0.7285714285714285,0.580952380952381,3.1333333333333333,defined on shared top-20 states,True,True,True,True,True
5000,123.0,3,0.6,0.42857142857142855,4,0.4,0.25,14,0.7,0.5384615384615384,14,0.3318681318681319,0.27472527472527475,6.214285714285714,defined on shared top-20 states,True,True,True,True,True
5000,456.0,2,0.4,0.25,6,0.6,0.42857142857142855,17,0.85,0.7391304347826086,17,0.4558823529411765,0.30882352941176466,4.9411764705882355,defined on shared top-20 states,True,True,True,True,True
5000,789.0,2,0.4,0.25,4,0.4,0.25,14,0.7,0.5384615384615384,14,0.059340659340659345,0.07692307692307693,7.142857142857143,defined on shared top-20 states,True,True,True,True,True
5000,2026.0,2,0.4,0.25,2,0.2,0.1111111111111111,12,0.6,0.42857142857142855,12,-0.15384615384615385,-0.1515151515151515,7.416666666666667,defined on shared top-20 states,True,True,True,False,False
7341,,5,1.0,1.0,10,1.0,1.0,20,1.0,1.0,20,1.0,1.0,0.0,defined on shared top-20 states,True,True,True,True,True
