training_sample_size,sampling_seed,candidate_count,exact_probability_raising_count,exact_probability_raising_fraction,mean_exact_probability_difference,median_exact_probability_difference,maximum_exact_probability_difference,mean_exact_candidate_reachability,positive_empirical_negative_exact_count,negative_empirical_positive_exact_count
500,42.0,20,6,0.3,0.001422348238208174,-0.009439424438619299,0.148091379766406,0.2657612432140521,12,1
500,123.0,20,9,0.45,0.01452828765726783,-0.004972823183392,0.1413821655504122,0.23797270261598805,8,2
500,456.0,20,12,0.6,0.027041255692427234,0.009258503452607699,0.148091379766406,0.19852103184341788,7,2
500,789.0,20,7,0.35,0.0010313934093039996,-0.010222452965408,0.1413821655504122,0.3559564431013545,11,3
500,2026.0,20,9,0.45,0.020778960734218966,-0.0086563959118306,0.148091379766406,0.21000731815670495,7,3
1000,42.0,20,8,0.4,0.010503808252030362,-0.010222452965408,0.1345847351321287,0.19211352082657424,8,2
1000,123.0,20,12,0.6,0.026754881568273454,0.0114986252492224,0.148091379766406,0.2311131227936593,3,1
1000,456.0,20,14,0.7,0.03386853550269751,0.0114986252492224,0.1413821655504122,0.18907840881076074,3,0
1000,789.0,20,9,0.45,0.017385542429674293,-0.0119585286498811,0.148091379766406,0.3404116939761798,10,3
1000,2026.0,20,11,0.55,0.03665121418236242,0.0114986252492224,0.148091379766406,0.177731032023785,6,2
2500,42.0,20,8,0.4,0.0035356935718239696,-0.010222452965408,0.1413821655504122,0.2735063626618328,7,2
2500,123.0,20,12,0.6,0.024418811443817835,0.0114986252492224,0.1413821655504122,0.2190045813592083,3,2
2500,456.0,20,14,0.7,0.05366234563859344,0.0310240334428369,0.1413821655504122,0.17034592020340203,2,0
2500,789.0,20,13,0.65,0.022732427765605936,0.009258503452607699,0.1413821655504122,0.1890659217672635,5,1
2500,2026.0,20,11,0.55,0.03779069579825291,0.0114986252492224,0.148091379766406,0.22069064652570552,7,4
5000,42.0,20,13,0.65,0.03896599963985182,0.0198934518158026,0.1413821655504122,0.17577869262938697,4,2
5000,123.0,20,14,0.7,0.03821943223876921,0.0114986252492224,0.1413821655504122,0.18645555396923677,4,2
5000,456.0,20,14,0.7,0.050930866736757306,0.0156960385325125,0.1413821655504122,0.20625952150767918,1,3
5000,789.0,20,12,0.6,0.04430528939060983,0.0114986252492224,0.1413821655504122,0.20747819211527546,4,2
5000,2026.0,20,13,0.65,0.01842154574540094,0.009258503452607699,0.1413821655504122,0.17390588511128813,4,1
7341,,20,15,0.75,0.05904187936007056,0.035022521924180094,0.1413821655504122,0.1332965341478096,3,2
