training_sample_size,sampling_seed,random_repeat,random_seed,exact_probability_raising_count,mean_exact_probability_difference,mean_exact_candidate_reachability
500,42.0,1,504542,7,0.01640011167863648,0.33537287575684466
500,42.0,2,504543,8,0.0012008326149654837,0.22726047000889604
500,42.0,3,504544,7,0.017266062467067123,0.27374064206611454
500,42.0,4,504545,9,0.02507321888281558,0.3070127331694373
500,42.0,5,504546,10,0.022412760875696873,0.32803715004173006
500,42.0,6,504547,7,0.0018261660537518293,0.3816657751286622
500,42.0,7,504548,10,0.04220173040249979,0.26200435806138234
500,42.0,8,504549,12,0.029739725937048593,0.23105894361282955
500,42.0,9,504550,7,0.012023404614400948,0.27620007612318787
500,42.0,10,504551,8,0.011773778804436273,0.27925200253637306
500,42.0,11,504552,10,0.016958654334831746,0.3524688995831749
500,42.0,12,504553,13,0.03851960269374033,0.18392435663550932
500,42.0,13,504554,10,0.013937958422014207,0.27350432192645835
500,42.0,14,504555,9,0.025785984946846092,0.20403997237959656
500,42.0,15,504556,10,0.017038626179551146,0.20617788406117646
500,42.0,16,504557,6,-0.0045608094045829295,0.4230463578515783
500,42.0,17,504558,10,0.019755726378412376,0.20552000448032262
500,42.0,18,504559,12,0.02944573337562505,0.19637661920652555
500,42.0,19,504560,7,0.008486198538343861,0.21116769077586378
500,42.0,20,504561,10,0.02338223854086145,0.16543575085273318
500,42.0,21,504562,9,0.012487441795300367,0.29064644741927786
500,42.0,22,504563,7,0.006191319982551048,0.3715485069640308
500,42.0,23,504564,12,0.039192687164828696,0.244362500908316
500,42.0,24,504565,10,0.025537592777867584,0.2771291138932491
500,42.0,25,504566,7,0.013271619781614858,0.2644425316419037
500,42.0,26,504567,7,0.007456523263797416,0.3574513214365078
500,42.0,27,504568,9,0.023452376639729537,0.3646385365778792
500,42.0,28,504569,8,0.018372856199009063,0.23345256194232147
500,42.0,29,504570,11,0.03603537830844354,0.316733801718721
500,42.0,30,504571,8,0.01639964406337332,0.3095948310877311
500,42.0,31,504572,9,0.013133814461067466,0.3577942516535081
500,42.0,32,504573,6,0.007720083011298713,0.3214267137123335
500,42.0,33,504574,7,0.020074605427881014,0.2414338074326304
