training_sample_size,sampling_seed,ranking_method,candidate_count,exact_probability_raising_count,mean_exact_probability_difference,mean_exact_candidate_reachability
500,42.0,combined,20,6,0.001422348238208174,0.2657612432140521
500,42.0,empirical_difference_only,20,5,0.0011083305822489247,0.29671680064660483
500,42.0,frequency_support_only,20,0,-0.012972079905830085,0.8225954955301111
500,42.0,logistic_coefficient_only,20,10,0.01724140722329006,0.2344668636580945
500,42.0,random_forest_importance_only,20,5,-0.0014204341630607228,0.32679347811457693
500,123.0,combined,20,9,0.01452828765726783,0.23797270261598805
500,123.0,empirical_difference_only,20,17,0.06741576691199452,0.04380296104022405
500,123.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301111
500,123.0,logistic_coefficient_only,20,7,0.012959445666685266,0.3084463941673942
500,123.0,random_forest_importance_only,20,8,0.003988349928153319,0.3188141283662628
500,456.0,combined,20,12,0.027041255692427234,0.19852103184341788
500,456.0,empirical_difference_only,20,16,0.050393721840252245,0.07007552368690292
500,456.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301112
500,456.0,logistic_coefficient_only,20,14,0.04332600670617236,0.10164084993062979
500,456.0,random_forest_importance_only,20,10,0.01556160747786596,0.2737512015431735
500,789.0,combined,20,7,0.0010313934093039996,0.3559564431013545
500,789.0,empirical_difference_only,20,11,0.041612724478801315,0.1674380652366511
500,789.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301112
500,789.0,logistic_coefficient_only,20,8,0.020594264870775307,0.3700936984783288
500,789.0,random_forest_importance_only,20,10,0.007386680414677165,0.2134893719889876
500,2026.0,combined,20,9,0.020778960734218966,0.21000731815670495
500,2026.0,empirical_difference_only,20,14,0.06424473340148967,0.029023602200807148
500,2026.0,frequency_support_only,20,0,-0.012972079905830085,0.8225954955301111
500,2026.0,logistic_coefficient_only,20,8,0.022231630654257126,0.16712045465353928
500,2026.0,random_forest_importance_only,20,7,0.01141700730650412,0.2651871754096498
1000,42.0,combined,20,8,0.010503808252030362,0.19211352082657424
1000,42.0,empirical_difference_only,20,10,0.021520988175108464,0.11055807595857085
1000,42.0,frequency_support_only,20,0,-0.012972079905830085,0.8225954955301111
1000,42.0,logistic_coefficient_only,20,11,0.034524061373868875,0.1743835850399605
1000,42.0,random_forest_importance_only,20,7,0.012789378102545188,0.301439612257117
1000,123.0,combined,20,12,0.026754881568273454,0.2311131227936593
1000,123.0,empirical_difference_only,20,14,0.05110021260611726,0.15929332388021764
1000,123.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301111
1000,123.0,logistic_coefficient_only,20,12,0.032549848809351016,0.1619870046787364
1000,123.0,random_forest_importance_only,20,12,0.044261161967832835,0.2720531925113162
1000,456.0,combined,20,14,0.03386853550269751,0.18907840881076074
1000,456.0,empirical_difference_only,20,15,0.04601985451842196,0.07101052965936647
1000,456.0,frequency_support_only,20,0,-0.012972079905830085,0.8225954955301111
1000,456.0,logistic_coefficient_only,20,14,0.03461388397827574,0.10826299247782514
1000,456.0,random_forest_importance_only,20,11,0.031115987673793543,0.19678746940698583
1000,789.0,combined,20,9,0.017385542429674293,0.3404116939761798
1000,789.0,empirical_difference_only,20,10,0.029126515102463356,0.24754481406671522
1000,789.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301112
1000,789.0,logistic_coefficient_only,20,9,0.020831097779678804,0.3339641258892244
1000,789.0,random_forest_importance_only,20,8,0.005239094774946855,0.2878769503267443
1000,2026.0,combined,20,11,0.03665121418236242,0.177731032023785
1000,2026.0,empirical_difference_only,20,11,0.05186421783924468,0.04477373345244246
1000,2026.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301112
1000,2026.0,logistic_coefficient_only,20,12,0.04776829233980419,0.08926047608207277
1000,2026.0,random_forest_importance_only,20,11,0.032529888481970144,0.1877100220695129
2500,42.0,combined,20,8,0.0035356935718239696,0.2735063626618328
2500,42.0,empirical_difference_only,20,10,0.024465268376142525,0.09442289327381795
2500,42.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301112
2500,42.0,logistic_coefficient_only,20,12,0.03654603517846526,0.16868193435167023
2500,42.0,random_forest_importance_only,20,8,0.020606528219849374,0.3096125396336612
2500,123.0,combined,20,12,0.024418811443817835,0.2190045813592083
2500,123.0,empirical_difference_only,20,17,0.07127795543505498,0.03371158085345712
2500,123.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301112
2500,123.0,logistic_coefficient_only,20,11,0.024781797285940092,0.2205877533643701
2500,123.0,random_forest_importance_only,20,12,0.028371953124421406,0.2920416400969129
2500,456.0,combined,20,14,0.05366234563859344,0.17034592020340203
2500,456.0,empirical_difference_only,20,18,0.0669539210651189,0.04225579798590061
2500,456.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301112
2500,456.0,logistic_coefficient_only,20,10,0.03912924473032356,0.3126542515898823
2500,456.0,random_forest_importance_only,20,10,0.026946807135937213,0.2054490453172629
2500,789.0,combined,20,13,0.022732427765605936,0.1890659217672635
2500,789.0,empirical_difference_only,20,14,0.02982168213864142,0.09077930022313681
2500,789.0,frequency_support_only,20,0,-0.012972079905830085,0.8225954955301112
2500,789.0,logistic_coefficient_only,20,8,0.023416017427001962,0.31093648233786836
2500,789.0,random_forest_importance_only,20,7,0.008499276649607711,0.34414418396956414
2500,2026.0,combined,20,11,0.03779069579825291,0.22069064652570552
2500,2026.0,empirical_difference_only,20,16,0.05641120072548391,0.06514257569985579
2500,2026.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301112
2500,2026.0,logistic_coefficient_only,20,14,0.04307664515500806,0.13134662441017197
2500,2026.0,random_forest_importance_only,20,11,0.0397736801298738,0.21927560915713853
5000,42.0,combined,20,13,0.03896599963985182,0.17577869262938697
5000,42.0,empirical_difference_only,20,17,0.04783325364097703,0.06506664699032773
5000,42.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301112
5000,42.0,logistic_coefficient_only,20,12,0.0385931550436894,0.17414446956518997
5000,42.0,random_forest_importance_only,20,12,0.03007205697147594,0.2520007360170803
5000,123.0,combined,20,14,0.03821943223876921,0.18645555396923677
5000,123.0,empirical_difference_only,20,17,0.05412373715676463,0.08577655555689193
5000,123.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301112
5000,123.0,logistic_coefficient_only,20,11,0.040752413350396054,0.18404001599492015
5000,123.0,random_forest_importance_only,20,13,0.0315462170040648,0.22333110334994827
5000,456.0,combined,20,14,0.050930866736757306,0.20625952150767918
5000,456.0,empirical_difference_only,20,14,0.055799998826265004,0.05273706751837026
5000,456.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301111
5000,456.0,logistic_coefficient_only,20,16,0.0613479601673312,0.13615904019474007
5000,456.0,random_forest_importance_only,20,13,0.03638741091179995,0.21414851660524725
5000,789.0,combined,20,12,0.04430528939060983,0.20747819211527546
5000,789.0,empirical_difference_only,20,16,0.053744074808281105,0.07246545098785258
5000,789.0,frequency_support_only,20,0,-0.012972079905830085,0.8225954955301112
5000,789.0,logistic_coefficient_only,20,10,0.0354315983610357,0.25110753771820393
5000,789.0,random_forest_importance_only,20,10,0.026532513158099603,0.22711341722040346
5000,2026.0,combined,20,13,0.01842154574540094,0.17390588511128813
5000,2026.0,empirical_difference_only,20,18,0.05736455931974319,0.07136224265939259
5000,2026.0,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301112
5000,2026.0,logistic_coefficient_only,20,14,0.049842318034531354,0.13376795245449874
5000,2026.0,random_forest_importance_only,20,10,0.021249240074743804,0.3008280852864903
7341,,combined,20,15,0.05904187936007056,0.1332965341478096
7341,,empirical_difference_only,20,16,0.05180045389949749,0.06674728755649165
7341,,frequency_support_only,20,0,-0.012972079905830084,0.8225954955301112
7341,,logistic_coefficient_only,20,14,0.0584554365850829,0.13250288754687314
7341,,random_forest_importance_only,20,12,0.04097559338185802,0.21298334416124826
